date, value
1/7/1947,10.1677
1/8/1947,9.8839
1/9/1947,9.7484
1/10/1947,9.5839
1/11/1947,9.3106
1/12/1947,9.5031
1/1/1948,8.5906
1/2/1948,8.1871
1/3/1948,8.8187
1/4/1948,8.3226
1/5/1948,8.9731
1/6/1948,9
1/7/1948,7.657
1/8/1948,7.715
1/9/1948,7.4831
1/10/1948,7.2227
1/11/1948,6.441
1/12/1948,6.6376
1/1/1949,6.395
1/2/1949,6.1429
1/3/1949,6.3277
1/4/1949,6.1417
1/5/1949,5.9125
1/6/1949,5.9
1/7/1949,6.2929
1/8/1949,6.3682
1/9/1949,6.5188
1/10/1949,6.9138
1/11/1949,6.9224
1/12/1949,7.2241
1/1/1950,7.1941
1/2/1950,7.2658
1/3/1950,7.2954
1/4/1950,7.1142
1/5/1950,7.3937
1/6/1950,6.9646
1/7/1950,6.5588
1/8/1950,6.7721
1/9/1950,7.1507
1/10/1950,6.8768
1/11/1950,6.8697
1/12/1950,7.1866
1/1/1951,7.6537
1/2/1951,7.7032
1/3/1951,7.5618
1/4/1951,8.2463
1/5/1951,7.9118
1/6/1951,7.7059
1/7/1951,8.9243
1/8/1951,9.2749
1/9/1951,9.2669
1/10/1951,9.4016
1/11/1951,9.377
1/12/1951,9.7418
1/1/1952,10.0583
1/2/1952,9.6917
1/3/1952,10.1542
1/4/1952,9.9658
1/5/1952,10.1966
1/6/1952,10.6667
1/7/1952,10.7627
1/8/1952,10.6059
1/9/1952,10.3983
1/10/1952,10.2167
1/11/1952,10.6917
1/12/1952,11.0708
1/1/1953,10.856
1/2/1953,10.6584
1/3/1953,10.4074
1/4/1953,9.8088
1/5/1953,9.7769
1/6/1953,9.6175
1/7/1953,9.7059
1/8/1953,9.1451
1/9/1953,9.1569
1/10/1953,9.7769
1/11/1953,9.8645
1/12/1953,9.8845
1/1/1954,10.2275
1/2/1954,10.2549
1/3/1954,10.5647
1/4/1954,10.7863
1/5/1954,11.1412
1/6/1954,11.1489
1/7/1954,11.7414
1/8/1954,11.3422
1/9/1954,12.2852
1/10/1954,11.4368
1/11/1954,12.361
1/12/1954,12.9892
1/1/1955,12.375
1/2/1955,12.4189
1/3/1955,12.3581
1/4/1955,11.7888
1/5/1955,11.7733
1/6/1955,12.7422
1/7/1955,12.6512
1/8/1955,12.5523
1/9/1955,12.6948
1/10/1955,11.6961
1/11/1955,12.5718
1/12/1955,12.5635
1/1/1956,11.8753
1/2/1956,12.2873
1/3/1956,13.1382
1/4/1956,13.4389
1/5/1956,12.5556
1/6/1956,13.0472
1/7/1956,14.2746
1/8/1956,13.7312
1/9/1956,13.1069
1/10/1956,13.3666
1/11/1956,13.2199
1/12/1956,13.6862
1/1/1957,13.1529
1/2/1957,12.7235
1/3/1957,12.9735
1/4/1957,13.3743
1/5/1957,13.8684
1/6/1957,13.8509
1/7/1957,13.8069
1/8/1957,13.0317
1/9/1957,12.2248
1/10/1957,12.184
1/11/1957,12.3798
1/12/1957,11.8665
1/1/1958,13.2803
1/2/1958,13.0064
1/3/1958,13.4076
1/4/1958,14.8259
1/5/1958,15.0478
1/6/1958,15.4403
1/7/1958,16.3854
1/8/1958,16.5799
1/9/1958,17.3819
1/10/1958,17.7612
1/11/1958,18.1592
1/12/1958,19.1038
1/1/1959,17.8296
1/2/1959,17.8167
1/3/1959,17.8264
1/4/1959,16.9382
1/5/1959,17.2588
1/6/1959,17.1971
1/7/1959,17.6414
1/8/1959,17.3761
1/9/1959,16.5831
1/10/1959,16.9676
1/11/1959,17.1917
1/12/1959,17.6667
1/1/1960,16.4041
1/2/1960,16.5546
1/3/1960,16.3245
1/4/1960,16.6779
1/5/1960,17.1258
1/6/1960,17.4601
1/7/1960,16.9755
1/8/1960,17.419
1/9/1960,16.367
1/10/1960,16.3272
1/11/1960,16.9847
1/12/1960,17.7706
1/1/1961,19.9935
1/2/1961,20.5307
1/3/1961,21.055
1/4/1961,21.5545
1/5/1961,21.967
1/6/1961,21.3333
1/7/1961,21.8885
1/8/1961,22.318
1/9/1961,21.8787
1/10/1961,21.511
1/11/1961,22.3574
1/12/1961,22.4295
1/1/1962,20.4273
1/2/1962,20.7596
1/3/1962,20.638
1/4/1962,18.8012
1/5/1962,17.1844
1/6/1962,15.7781
1/7/1962,16.4958
1/8/1962,16.7479
1/9/1962,15.9405
1/10/1962,15.4005
1/11/1962,16.9646
1/12/1962,17.1935
1/1/1963,17.8437
1/2/1963,17.3288
1/3/1963,17.9434
1/4/1963,18.1771
1/5/1963,18.4375
1/6/1963,18.0651
1/7/1963,17.4571
1/8/1963,18.3081
1/9/1963,18.1061
1/10/1963,18.4104
1/11/1963,18.2164
1/12/1963,18.6617
1/1/1964,18.4306
1/2/1964,18.6124
1/3/1964,18.8947
1/4/1964,18.351
1/5/1964,18.5612
1/6/1964,18.8661
1/7/1964,18.6085
1/8/1964,18.3065
1/9/1964,18.8322
1/10/1964,18.6505
1/11/1964,18.5538
1/12/1964,18.6264
1/1/1965,18.7094
1/2/1965,18.6816
1/3/1965,18.4103
1/4/1965,18.4112
1/5/1965,18.2686
1/6/1965,17.3802
1/7/1965,17.1185
1/8/1965,17.504
1/9/1965,18.0643
1/10/1965,17.8073
1/11/1965,17.6513
1/12/1965,17.8092
1/1/1966,17.3933
1/2/1966,17.0824
1/3/1966,16.7097
1/4/1966,16.6777
1/5/1966,15.7747
1/6/1966,15.5201
1/7/1966,15.1724
1/8/1966,13.9927
1/9/1966,13.8947
1/10/1966,14.4505
1/11/1966,14.4955
1/12/1966,14.4739
1/1/1967,15.8917
1/2/1967,15.9229
1/3/1967,16.5505
1/4/1967,17.6379
1/5/1967,16.7129
1/6/1967,17.0056
1/7/1967,17.8774
1/8/1967,17.6679
1/9/1967,18.2472
1/10/1967,17.5047
1/11/1967,17.636
1/12/1967,18.0994
1/1/1968,16.9559
1/2/1968,16.4265
1/3/1968,16.5809
1/4/1968,17.4973
1/5/1968,17.7163
1/6/1968,17.8779
1/7/1968,17.2686
1/8/1968,17.4664
1/9/1968,18.1396
1/10/1968,17.9531
1/11/1968,18.8142
1/12/1968,18.0313
1/1/1969,17.6993
1/2/1969,16.8608
1/3/1969,17.4416
1/4/1969,17.7551
1/5/1969,17.7158
1/6/1969,16.7312
1/7/1969,15.5908
1/8/1969,16.2156
1/9/1969,15.8098
1/10/1969,16.8028
1/11/1969,16.2301
1/12/1969,15.9273
1/1/1970,15.1012
1/2/1970,15.897
1/3/1970,15.9201
1/4/1970,14.7681
1/5/1970,13.8678
1/6/1970,13.1739
1/7/1970,14.5616
1/8/1970,15.209
1/9/1970,15.7276
1/10/1970,16.2281
1/11/1970,16.9981
1/12/1970,17.963
1/1/1971,18.3678
1/2/1971,18.5345
1/3/1971,19.2165
1/4/1971,19.5395
1/5/1971,18.7274
1/6/1971,18.5526
1/7/1971,17.6022
1/8/1971,18.2376
1/9/1971,18.1105
1/10/1971,16.5316
1/11/1971,16.4895
1/12/1971,17.9105
1/1/1972,17.8898
1/2/1972,18.3425
1/3/1972,18.4509
1/4/1972,18.0352
1/5/1972,18.3467
1/6/1972,17.9464
1/7/1972,17.4902
1/8/1972,18.0928
1/9/1972,18.0049
1/10/1972,17.3801
1/11/1972,18.1729
1/12/1972,18.3879
1/1/1973,17.0632
1/2/1973,16.4235
1/3/1973,16.4
1/4/1973,14.7953
1/5/1973,14.5159
1/6/1973,14.4205
1/7/1973,14.0728
1/8/1973,13.5566
1/9/1973,14.1001
1/10/1973,13.2708
1/11/1973,11.7598
1/12/1973,11.9547
1/1/1974,11.5514
1/2/1974,11.5096
